Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
PITPNA,0.079092,0.935545,1.28162,1.28162,0.791043,0.966209,1.04283,1.04283
PITPNB,0.618142,0.957212,1.13411,1.13411,0.939312,0.98728,0.980233,-1.02017
PITPNC1,0.367924,0.93951,0.814497,-1.22775,0.167111,0.665136,0.664391,-1.50514
PITPNM1,0.276854,0.935545,0.756313,-1.3222,0.0389917,0.427105,0.572417,-1.74698
PITPNM2,0.30518,0.935545,1.28073,1.28073,0.0500948,0.460558,1.83429,1.83429
PITRM1,0.6725,0.966741,1.11139,1.11139,0.394335,0.850781,1.2675,1.2675
PJA1,0.292979,0.935545,1.447,1.447,0.692352,0.939327,0.888932,-1.12495
PJA2,0.311514,0.935545,0.818755,-1.22137,0.368678,0.835393,0.81145,-1.23236
PKD1,0.639594,0.959345,0.866611,-1.15392,0.0971801,0.566037,0.618097,-1.61787
PKD2,0.643063,0.959898,1.12231,1.12231,0.751518,0.955535,0.926697,-1.0791
PKHD1L1,0.0441688,0.935545,2.05165,2.05165,0.0524709,0.469099,2.07108,2.07108
PKIA,0.998067,0.999452,0.999428,-1.00057,0.475334,0.880502,0.812849,-1.23024
PKIG,0.0120407,0.935545,1.9847,1.9847,0.0804722,0.532315,1.55996,1.55996
PKM,0.00660538,0.935545,1.79588,1.79588,0.00344768,0.223905,1.96549,1.96549
PKN1,0.785654,0.979908,0.947026,-1.05594,0.729079,0.950578,1.07978,1.07978
PKN2,0.319015,0.935545,0.834293,-1.19862,0.014241,0.317584,0.617536,-1.61934
PKNOX1,0.964188,0.996686,0.992027,-1.00804,0.304075,0.79349,0.813654,-1.22902
PKP4,0.246524,0.935545,1.27876,1.27876,0.972134,0.994588,1.00701,1.00701
PLA2G12A,0.522665,0.946462,1.15295,1.15295,0.828171,0.96996,1.04927,1.04927
PLA2G6,0.949044,0.995252,1.01282,1.01282,0.139605,0.625705,0.735267,-1.36005
PLA2G7,0.625641,0.957881,0.856351,-1.16775,0.563207,0.911813,0.822474,-1.21584
PLAA,0.547588,0.94965,1.14474,1.14474,0.699835,0.942639,0.913046,-1.09523
PLAAT3,0.460236,0.94373,0.789691,-1.26632,0.688414,0.938985,1.18346,1.18346
PLAAT4,0.163438,0.935545,0.762432,-1.31159,0.415166,0.861032,0.817364,-1.22344
PLAC8,0.351741,0.93951,0.618471,-1.61689,0.928202,0.984785,1.06324,1.06324
PLAGL1,0.0159253,0.935545,0.627245,-1.59427,0.00254937,0.215342,0.513046,-1.94914
PLAGL2,0.730442,0.972199,0.920026,-1.08693,0.846656,0.970528,0.951415,-1.05107
PLAUR,0.743302,0.972646,0.930978,-1.07414,0.230452,0.730254,1.38692,1.38692
PLB1,0.852252,0.984764,0.953806,-1.04843,0.081019,0.532315,0.669853,-1.49286
PLBD1,0.0244228,0.935545,1.91934,1.91934,0.00637559,0.259507,2.44337,2.44337
PLBD1-AS1,0.66418,0.966553,1.12186,1.12186,0.144882,0.631048,1.63832,1.63832
PLBD2,0.0273187,0.935545,1.95034,1.95034,0.115363,0.594813,1.53002,1.53002
PLCB1,0.346816,0.93951,0.704943,-1.41855,0.14166,0.626928,0.556484,-1.797
PLCB2,0.761351,0.975957,0.949022,-1.05372,0.187034,0.687255,0.786426,-1.27158
PLCD1,0.134399,0.935545,0.630952,-1.58491,0.305686,0.79419,0.699069,-1.43047
PLCG1-AS1,0.832898,0.984212,1.09184,1.09184,0.692504,0.939327,0.857143,-1.16667
PLCG2,0.490014,0.94373,1.0953,1.0953,0.992174,0.998704,0.998655,-1.00135
PLCL2,0.620558,0.957212,0.914405,-1.09361,0.087344,0.549398,0.714181,-1.40021
PLCXD2,0.0497389,0.935545,0.394267,-2.53635,0.113661,0.589377,0.417669,-2.39424
PLD1,0.267319,0.935545,1.38057,1.38057,0.380106,0.841662,1.29186,1.29186
PLD2,0.825072,0.982154,1.07456,1.07456,0.773291,0.961023,1.10401,1.10401
PLD3,0.446394,0.94373,1.20249,1.20249,0.261221,0.758025,1.34972,1.34972
PLD4,0.474049,0.94373,0.729881,-1.37009,0.0364801,0.419483,0.452097,-2.21192
PLD6,0.592035,0.952807,1.18261,1.18261,0.112674,0.588023,1.93365,1.93365
PLEC,0.346769,0.93951,1.24305,1.24305,0.505982,0.890092,1.16372,1.16372
PLEK,0.690402,0.967761,0.921859,-1.08476,0.565126,0.911813,1.14186,1.14186
PLEK2,0.84685,0.984502,0.916972,-1.09055,0.834541,0.96996,1.1165,1.1165
PLEKHA1,0.480073,0.94373,0.798568,-1.25224,0.224244,0.722212,0.668392,-1.49613
PLEKHA2,0.435169,0.94373,1.14568,1.14568,0.839343,0.96996,1.03963,1.03963
PLEKHA3,0.27708,0.935545,0.598918,-1.66968,0.475018,0.880481,0.689335,-1.45067
PLEKHA8,0.418945,0.943474,1.46668,1.46668,0.270662,0.764442,0.685911,-1.45791
PLEKHA8P1,0.00513761,0.935545,1.82029,1.82029,0.061923,0.489727,1.53822,1.53822
PLEKHB2,0.78648,0.979908,0.954143,-1.04806,0.680968,0.936956,1.08858,1.08858
PLEKHF1,0.932635,0.99361,0.967072,-1.03405,0.784516,0.964246,1.13837,1.13837
PLEKHF2,0.631456,0.959345,0.902108,-1.10851,0.893987,0.978604,1.03542,1.03542
PLEKHG1,0.659681,0.96435,1.13155,1.13155,0.18448,0.684908,0.686804,-1.45602
PLEKHG2,0.676265,0.966741,0.846969,-1.18068,0.564358,0.911813,0.789158,-1.26717
PLEKHG3,0.0582675,0.935545,0.662512,-1.50941,0.217282,0.715705,0.743309,-1.34534
PLEKHJ1,0.554431,0.95025,0.8926,-1.12032,0.644631,0.929455,0.909948,-1.09896
PLEKHM1,0.853047,0.98498,0.963116,-1.0383,0.544246,0.90254,0.88214,-1.13361
PLEKHM1P1,0.560116,0.951031,0.899718,-1.11146,0.0787195,0.527237,0.729977,-1.36991
